Saved Sample Number,Date,Timestamp,Elapsed Time (seconds),Elapsed Time (minutes),Gas Sensor 1 Raw,Gas Sensor 1 Voltage (V),Gas Sensor 2 Raw,Gas Sensor 2 Voltage (V),Gas Sensor 3 Raw,Gas Sensor 3 Voltage (V),Temperature (C),Humidity (%),Pressure (hPa),BME680 Gas Resistance (kOhms)
19,2026-07-21,2026-07-21 06:37:44 PM,570.147,9.5024,5071,0.6339,4007,0.5009,8422,1.0527,27.38,39.23,992.91,125.46
20,2026-07-21,2026-07-21 06:38:14 PM,600.012,10.0002,5095,0.6369,4001,0.5001,8443,1.0554,27.39,39.2,992.92,124.82
21,2026-07-21,2026-07-21 06:38:44 PM,630.003,10.5001,5115,0.6394,3992,0.499,8460,1.0575,27.41,39.19,992.92,124.82
22,2026-07-21,2026-07-21 06:39:14 PM,660.212,11.0035,5138,0.6423,3981,0.4976,8475,1.0594,27.42,39.18,992.89,123.91
23,2026-07-21,2026-07-21 06:39:44 PM,690.197,11.5033,5161,0.6451,3971,0.4964,8494,1.0618,27.44,39.16,992.88,124.09
24,2026-07-21,2026-07-21 06:40:14 PM,720.006,12.0001,5183,0.6479,3962,0.4953,8514,1.0642,27.45,39.15,992.86,122.93
25,2026-07-21,2026-07-21 06:40:44 PM,750.014,12.5002,5205,0.6506,3954,0.4943,8529,1.0661,27.47,39.15,992.89,123.28
26,2026-07-21,2026-07-21 06:41:14 PM,780.202,13.0034,5226,0.6533,3947,0.4934,8547,1.0684,27.48,39.13,992.87,122.05
27,2026-07-21,2026-07-21 06:41:44 PM,810.004,13.5001,5251,0.6564,3933,0.4916,8563,1.0704,27.48,39.11,992.86,122.14
28,2026-07-21,2026-07-21 06:42:14 PM,840.006,14.0001,5274,0.6593,3924,0.4905,8585,1.0731,27.49,39.11,992.83,121.36
29,2026-07-21,2026-07-21 06:42:44 PM,870.005,14.5001,5293,0.6616,3918,0.4898,8600,1.075,27.5,39.11,992.8,120.58
30,2026-07-21,2026-07-21 06:43:14 PM,900.202,15.0034,5316,0.6645,3911,0.4889,8615,1.0769,27.51,39.1,992.79,120.67
31,2026-07-21,2026-07-21 06:43:44 PM,930.198,15.5033,5337,0.6671,3898,0.4873,8628,1.0785,27.52,39.1,992.77,120.07
32,2026-07-21,2026-07-21 06:44:14 PM,960.197,16.0033,5360,0.67,3893,0.4866,8642,1.0803,27.52,39.08,992.73,119.49
33,2026-07-21,2026-07-21 06:44:44 PM,990.0,16.5,5380,0.6725,3884,0.4855,8657,1.0821,27.52,39.08,992.71,119.57
34,2026-07-21,2026-07-21 06:45:14 PM,1020.197,17.0033,5404,0.6755,3875,0.4844,8675,1.0844,27.53,39.09,992.7,118.74
35,2026-07-21,2026-07-21 06:45:44 PM,1050.01,17.5002,5423,0.6779,3870,0.4838,8692,1.0865,27.53,39.08,992.68,118.57
36,2026-07-21,2026-07-21 06:46:14 PM,1080.192,18.0032,5447,0.6809,3861,0.4826,8706,1.0883,27.54,39.09,992.67,118.08
37,2026-07-21,2026-07-21 06:46:44 PM,1110.196,18.5033,5472,0.684,3851,0.4814,8718,1.0898,27.54,39.08,992.58,117.43
38,2026-07-21,2026-07-21 06:47:14 PM,1140.189,19.0031,5494,0.6868,3839,0.4799,8734,1.0918,27.54,39.07,992.6,117.27
39,2026-07-21,2026-07-21 06:47:44 PM,1170.181,19.503,5514,0.6893,3832,0.479,8750,1.0938,27.55,39.07,992.52,116.63
40,2026-07-21,2026-07-21 06:48:14 PM,1200.182,20.003,5538,0.6923,3823,0.4779,8771,1.0964,27.56,39.07,992.49,116.95
41,2026-07-21,2026-07-21 06:48:44 PM,1230.185,20.5031,5560,0.695,3823,0.4779,8782,1.0978,27.57,39.06,992.45,116.39
42,2026-07-21,2026-07-21 06:49:14 PM,1260.179,21.003,5582,0.6978,3813,0.4766,8799,1.0999,27.59,39.06,992.43,116.15
43,2026-07-21,2026-07-21 06:49:44 PM,1290.008,21.5001,5605,0.7006,3806,0.4758,8813,1.1016,27.6,39.03,992.36,115.21
44,2026-07-21,2026-07-21 06:50:14 PM,1320.186,22.0031,5628,0.7035,3804,0.4755,8831,1.1039,27.62,39.03,992.42,114.9
45,2026-07-21,2026-07-21 06:50:44 PM,1350.194,22.5032,5649,0.7061,3798,0.4748,8845,1.1056,27.63,39.01,992.32,114.82
46,2026-07-21,2026-07-21 06:51:14 PM,1380.191,23.0032,5673,0.7091,3797,0.4746,8861,1.1076,27.65,39.02,992.3,114.44
47,2026-07-21,2026-07-21 06:51:44 PM,1410.184,23.5031,5698,0.7123,3783,0.4729,8873,1.1091,27.67,38.99,992.26,114.36
48,2026-07-21,2026-07-21 06:52:14 PM,1440.001,24.0,5720,0.715,3787,0.4734,8894,1.1118,27.69,38.98,992.26,113.45
49,2026-07-21,2026-07-21 06:52:44 PM,1470.186,24.5031,5746,0.7183,3779,0.4724,8911,1.1139,27.71,38.98,992.24,113.53
50,2026-07-21,2026-07-21 06:53:14 PM,1500.203,25.0034,5770,0.7213,3776,0.472,8923,1.1154,27.73,38.97,992.23,113.15
51,2026-07-21,2026-07-21 06:53:44 PM,1530.186,25.5031,5795,0.7244,3770,0.4713,8941,1.1176,27.75,38.96,992.22,112.85
52,2026-07-21,2026-07-21 06:54:14 PM,1560.186,26.0031,5817,0.7271,3768,0.471,8958,1.1198,27.77,38.94,992.22,112.11
53,2026-07-21,2026-07-21 06:54:44 PM,1590.196,26.5033,5840,0.73,3767,0.4709,8972,1.1215,27.8,38.94,992.23,111.45
54,2026-07-21,2026-07-21 06:55:14 PM,1620.016,27.0003,5861,0.7326,3763,0.4704,8992,1.124,27.82,38.93,992.23,110.94
55,2026-07-21,2026-07-21 06:55:44 PM,1650.19,27.5032,5890,0.7363,3763,0.4704,9004,1.1255,27.84,38.92,992.25,110.73
56,2026-07-21,2026-07-21 06:56:14 PM,1680.18,28.003,5911,0.7389,3753,0.4691,9023,1.1279,27.86,38.92,992.25,111.3
57,2026-07-21,2026-07-21 06:56:44 PM,1710.2,28.5033,5937,0.7421,3751,0.4689,9036,1.1295,27.88,38.93,992.27,110.58
58,2026-07-21,2026-07-21 06:57:14 PM,1740.195,29.0033,5957,0.7446,3748,0.4685,9049,1.1311,27.9,38.92,992.27,110.08
59,2026-07-21,2026-07-21 06:57:44 PM,1770.19,29.5032,5980,0.7475,3749,0.4686,9072,1.134,27.92,38.91,992.31,109.52
60,2026-07-21,2026-07-21 06:58:14 PM,1800.176,30.0029,6005,0.7506,3745,0.4681,9084,1.1355,27.93,38.91,992.28,109.31
61,2026-07-21,2026-07-21 06:58:44 PM,1830.172,30.5029,6024,0.753,3740,0.4675,9097,1.1371,27.95,38.92,992.3,109.24
62,2026-07-21,2026-07-21 06:59:14 PM,1860.184,31.0031,6047,0.7559,3732,0.4665,9110,1.1388,27.95,38.93,992.32,109.24
63,2026-07-21,2026-07-21 06:59:44 PM,1890.172,31.5029,6067,0.7584,3733,0.4666,9125,1.1406,27.96,38.96,992.3,108.2
64,2026-07-21,2026-07-21 07:00:14 PM,1920.173,32.0029,6087,0.7609,3732,0.4665,9138,1.1423,27.96,38.96,992.3,108.54
65,2026-07-21,2026-07-21 07:00:44 PM,1950.19,32.5032,6108,0.7635,3725,0.4656,9150,1.1438,27.97,38.98,992.27,107.52
66,2026-07-21,2026-07-21 07:01:14 PM,1980.179,33.003,6127,0.7659,3721,0.4651,9162,1.1453,27.97,38.98,992.25,108.06
67,2026-07-21,2026-07-21 07:01:44 PM,2010.178,33.503,6148,0.7685,3715,0.4644,9176,1.147,27.96,38.99,992.24,108.06
68,2026-07-21,2026-07-21 07:02:14 PM,2040.184,34.0031,6168,0.771,3712,0.464,9185,1.1481,27.96,39.03,992.22,106.84
69,2026-07-21,2026-07-21 07:02:44 PM,2070.184,34.5031,6184,0.773,3702,0.4628,9201,1.1501,27.96,39.04,992.24,107.32
70,2026-07-21,2026-07-21 07:03:14 PM,2100.176,35.0029,6205,0.7756,3697,0.4621,9215,1.1519,27.95,39.04,992.23,106.51
71,2026-07-21,2026-07-21 07:03:44 PM,2130.164,35.5027,6225,0.7781,3696,0.462,9221,1.1526,27.95,39.06,992.25,106.58
72,2026-07-21,2026-07-21 07:04:14 PM,2160.17,36.0028,6243,0.7804,3688,0.461,9236,1.1545,27.95,39.07,992.25,106.25
73,2026-07-21,2026-07-21 07:04:44 PM,2190.188,36.5031,6261,0.7826,3686,0.4608,9249,1.1561,27.95,39.09,992.23,106.05
74,2026-07-21,2026-07-21 07:05:14 PM,2220.164,37.0027,6279,0.7849,3682,0.4603,9260,1.1575,27.95,39.09,992.25,106.05
75,2026-07-21,2026-07-21 07:05:44 PM,2250.172,37.5029,6300,0.7875,3676,0.4595,9272,1.159,27.96,39.11,992.27,105.46
76,2026-07-21,2026-07-21 07:06:14 PM,2280.166,38.0028,6320,0.79,3675,0.4594,9282,1.1603,27.97,39.11,992.26,105.07
77,2026-07-21,2026-07-21 07:06:44 PM,2310.172,38.5029,6335,0.7919,3670,0.4588,9296,1.162,27.97,39.1,992.24,105.0
78,2026-07-21,2026-07-21 07:07:14 PM,2340.169,39.0028,6358,0.7948,3672,0.459,9311,1.1639,27.98,39.09,992.24,104.55
79,2026-07-21,2026-07-21 07:07:44 PM,2370.186,39.5031,6378,0.7973,3667,0.4584,9320,1.165,27.99,39.1,992.24,104.49
80,2026-07-21,2026-07-21 07:08:14 PM,2400.183,40.003,6399,0.7999,3666,0.4583,9335,1.1669,28.0,39.1,992.27,104.55
81,2026-07-21,2026-07-21 07:08:44 PM,2430.192,40.5032,6420,0.8025,3667,0.4584,9346,1.1683,28.01,39.1,992.25,104.04
82,2026-07-21,2026-07-21 07:09:14 PM,2460.187,41.0031,6442,0.8053,3659,0.4574,9363,1.1704,28.03,39.09,992.31,103.85
83,2026-07-21,2026-07-21 07:09:44 PM,2490.172,41.5029,6459,0.8074,3658,0.4573,9375,1.1719,28.04,39.08,992.37,103.41
84,2026-07-21,2026-07-21 07:10:14 PM,2520.172,42.0029,6480,0.81,3653,0.4566,9387,1.1734,28.06,39.1,992.38,103.16
85,2026-07-21,2026-07-21 07:10:44 PM,2550.171,42.5029,6502,0.8128,3653,0.4566,9398,1.1748,28.08,39.09,992.4,103.04
86,2026-07-21,2026-07-21 07:11:14 PM,2580.195,43.0032,6520,0.815,3645,0.4556,9416,1.177,28.1,39.08,992.43,102.48
87,2026-07-21,2026-07-21 07:11:44 PM,2610.177,43.5029,6541,0.8176,3643,0.4554,9423,1.1779,28.12,39.07,992.44,102.61
88,2026-07-21,2026-07-21 07:12:14 PM,2640.168,44.0028,6562,0.8203,3643,0.4554,9440,1.18,28.14,39.06,992.43,102.05
89,2026-07-21,2026-07-21 07:12:44 PM,2670.172,44.5029,6583,0.8229,3644,0.4555,9452,1.1815,28.16,39.06,992.46,102.24
90,2026-07-21,2026-07-21 07:13:14 PM,2700.195,45.0033,6603,0.8254,3642,0.4553,9463,1.1829,28.17,39.06,992.45,101.21
91,2026-07-21,2026-07-21 07:13:44 PM,2730.156,45.5026,6626,0.8283,3642,0.4553,9477,1.1846,28.19,39.04,992.47,100.91
92,2026-07-21,2026-07-21 07:14:14 PM,2760.179,46.003,6646,0.8308,3640,0.455,9492,1.1865,28.22,39.05,992.46,101.03
93,2026-07-21,2026-07-21 07:14:44 PM,2790.16,46.5027,6669,0.8336,3640,0.455,9505,1.1881,28.24,39.04,992.48,100.79
94,2026-07-21,2026-07-21 07:15:14 PM,2820.159,47.0027,6686,0.8358,3632,0.454,9520,1.19,28.26,39.04,992.47,100.37
95,2026-07-21,2026-07-21 07:15:44 PM,2850.162,47.5027,6706,0.8383,3640,0.455,9529,1.1911,28.28,39.04,992.45,99.9
96,2026-07-21,2026-07-21 07:16:14 PM,2880.171,48.0028,6727,0.8409,3634,0.4543,9543,1.1929,28.3,39.03,992.47,99.84
97,2026-07-21,2026-07-21 07:16:44 PM,2910.158,48.5026,6745,0.8431,3633,0.4541,9554,1.1943,28.31,39.04,992.48,99.44
98,2026-07-21,2026-07-21 07:17:14 PM,2940.157,49.0026,6764,0.8455,3634,0.4543,9569,1.1961,28.32,39.03,992.51,99.55
99,2026-07-21,2026-07-21 07:17:44 PM,2970.165,49.5028,6781,0.8476,3627,0.4534,9580,1.1975,28.33,39.05,992.55,99.26
100,2026-07-21,2026-07-21 07:18:14 PM,3000.155,50.0026,6801,0.8501,3627,0.4534,9591,1.1989,28.34,39.04,992.56,98.97
101,2026-07-21,2026-07-21 07:18:44 PM,3030.146,50.5024,6815,0.8519,3628,0.4535,9602,1.2003,28.34,39.06,992.58,98.86
102,2026-07-21,2026-07-21 07:19:14 PM,3060.154,51.0026,6833,0.8541,3627,0.4534,9612,1.2015,28.35,39.07,992.63,98.63
103,2026-07-21,2026-07-21 07:19:44 PM,3090.151,51.5025,6851,0.8564,3626,0.4533,9624,1.203,28.35,39.08,992.63,98.35
104,2026-07-21,2026-07-21 07:20:14 PM,3120.159,52.0027,6868,0.8585,3618,0.4523,9636,1.2045,28.35,39.11,992.64,98.35
105,2026-07-21,2026-07-21 07:20:44 PM,3150.163,52.5027,6880,0.86,3618,0.4523,9648,1.206,28.34,39.13,992.67,98.01
106,2026-07-21,2026-07-21 07:21:14 PM,3180.155,53.0026,6895,0.8619,3618,0.4523,9657,1.2071,28.34,39.16,992.68,98.23
107,2026-07-21,2026-07-21 07:21:44 PM,3210.148,53.5025,6909,0.8636,3614,0.4518,9669,1.2086,28.33,39.15,992.69,97.73
108,2026-07-21,2026-07-21 07:22:14 PM,3240.15,54.0025,6926,0.8658,3618,0.4523,9677,1.2096,28.32,39.17,992.7,97.84
109,2026-07-21,2026-07-21 07:22:44 PM,3270.153,54.5025,6939,0.8674,3606,0.4508,9684,1.2105,28.31,39.21,992.72,97.62
110,2026-07-21,2026-07-21 07:23:14 PM,3300.154,55.0026,6953,0.8691,3607,0.4509,9692,1.2115,28.3,39.23,992.69,97.45
111,2026-07-21,2026-07-21 07:23:44 PM,3330.146,55.5024,6967,0.8709,3605,0.4506,9701,1.2126,28.29,39.25,992.71,97.28
112,2026-07-21,2026-07-21 07:24:14 PM,3360.133,56.0022,6984,0.873,3602,0.4503,9709,1.2136,28.28,39.26,992.71,96.79
113,2026-07-21,2026-07-21 07:24:44 PM,3390.152,56.5025,6993,0.8741,3596,0.4495,9715,1.2144,28.27,39.28,992.67,96.9
114,2026-07-21,2026-07-21 07:25:14 PM,3420.145,57.0024,7008,0.876,3593,0.4491,9727,1.2159,28.25,39.31,992.67,96.68
115,2026-07-21,2026-07-21 07:25:44 PM,3450.148,57.5025,7018,0.8773,3591,0.4489,9736,1.217,28.24,39.33,992.67,96.79
116,2026-07-21,2026-07-21 07:26:14 PM,3480.144,58.0024,7036,0.8795,3581,0.4476,9746,1.2183,28.23,39.34,992.69,96.51
117,2026-07-21,2026-07-21 07:26:44 PM,3510.142,58.5024,7047,0.8809,3579,0.4474,9751,1.2189,28.22,39.35,992.67,96.35
118,2026-07-21,2026-07-21 07:27:14 PM,3540.146,59.0024,7060,0.8825,3579,0.4474,9754,1.2193,28.21,39.38,992.67,96.29
119,2026-07-21,2026-07-21 07:27:44 PM,3570.144,59.5024,7073,0.8841,3573,0.4466,9766,1.2208,28.21,39.36,992.67,95.81
120,2026-07-21,2026-07-21 07:28:14 PM,3600.137,60.0023,7083,0.8854,3568,0.446,9772,1.2215,28.2,39.38,992.67,95.97
121,2026-07-21,2026-07-21 07:28:44 PM,3630.143,60.5024,7097,0.8871,3565,0.4456,9783,1.2229,28.2,39.39,992.68,96.02
122,2026-07-21,2026-07-21 07:29:14 PM,3660.158,61.0026,7113,0.8891,3557,0.4446,9794,1.2243,28.2,39.39,992.68,95.7
123,2026-07-21,2026-07-21 07:29:44 PM,3690.142,61.5024,7129,0.8911,3558,0.4448,9810,1.2263,28.2,39.38,992.71,95.59
124,2026-07-21,2026-07-21 07:30:14 PM,3720.141,62.0024,7148,0.8935,3556,0.4445,9832,1.229,28.21,39.38,992.69,95.17
125,2026-07-21,2026-07-21 07:30:44 PM,3750.151,62.5025,7163,0.8954,3552,0.444,9855,1.2319,28.21,39.37,992.72,95.11
126,2026-07-21,2026-07-21 07:31:14 PM,3780.16,63.0027,7182,0.8978,3554,0.4443,9875,1.2344,28.22,39.39,992.73,94.85
127,2026-07-21,2026-07-21 07:31:44 PM,3810.131,63.5022,7196,0.8995,3552,0.444,9890,1.2363,28.23,39.37,992.76,94.74
128,2026-07-21,2026-07-21 07:32:14 PM,3840.136,64.0023,7212,0.9015,3554,0.4443,9904,1.238,28.24,39.36,992.79,94.22
129,2026-07-21,2026-07-21 07:32:44 PM,3870.136,64.5023,7227,0.9034,3550,0.4438,9915,1.2394,28.25,39.34,992.8,94.32
130,2026-07-21,2026-07-21 07:33:14 PM,3900.133,65.0022,7242,0.9053,3552,0.444,9928,1.241,28.26,39.35,992.83,93.96
131,2026-07-21,2026-07-21 07:33:44 PM,3930.135,65.5022,7257,0.9071,3548,0.4435,9940,1.2425,28.28,39.35,992.81,94.01
132,2026-07-21,2026-07-21 07:34:14 PM,3960.13,66.0022,7275,0.9094,3552,0.444,9954,1.2443,28.29,39.32,992.81,93.86
133,2026-07-21,2026-07-21 07:34:44 PM,3990.128,66.5021,7294,0.9118,3546,0.4433,9967,1.2459,28.3,39.33,992.83,93.81
134,2026-07-21,2026-07-21 07:35:14 PM,4020.129,67.0021,7305,0.9131,3547,0.4434,9978,1.2473,28.32,39.33,992.81,92.32
135,2026-07-21,2026-07-21 07:35:44 PM,4050.121,67.502,7322,0.9153,3546,0.4433,9993,1.2491,28.33,39.3,992.82,92.22
136,2026-07-21,2026-07-21 07:36:14 PM,4080.13,68.0022,7337,0.9171,3545,0.4431,10004,1.2505,28.35,39.31,992.79,92.02
137,2026-07-21,2026-07-21 07:36:44 PM,4110.126,68.5021,7353,0.9191,3549,0.4436,10017,1.2521,28.36,39.31,992.81,91.62
138,2026-07-21,2026-07-21 07:37:14 PM,4140.126,69.0021,7366,0.9208,3545,0.4431,10029,1.2536,28.37,39.3,992.77,91.62
139,2026-07-21,2026-07-21 07:37:44 PM,4170.122,69.502,7376,0.922,3541,0.4426,10046,1.2558,28.38,39.29,992.75,91.53
140,2026-07-21,2026-07-21 07:38:14 PM,4200.133,70.0022,7391,0.9239,3547,0.4434,10054,1.2568,28.39,39.29,992.76,91.33
141,2026-07-21,2026-07-21 07:38:44 PM,4230.132,70.5022,7408,0.926,3540,0.4425,10067,1.2584,28.39,39.3,992.73,90.94
142,2026-07-21,2026-07-21 07:39:14 PM,4260.12,71.002,7417,0.9271,3545,0.4431,10074,1.2593,28.4,39.32,992.76,91.23
143,2026-07-21,2026-07-21 07:39:44 PM,4290.135,71.5022,7428,0.9285,3543,0.4429,10085,1.2606,28.4,39.32,992.71,91.04
144,2026-07-21,2026-07-21 07:40:14 PM,4320.123,72.002,7438,0.9298,3542,0.4428,10091,1.2614,28.39,39.34,992.71,90.65
145,2026-07-21,2026-07-21 07:40:44 PM,4350.13,72.5022,7450,0.9313,3539,0.4424,10102,1.2628,28.39,39.36,992.7,90.75
146,2026-07-21,2026-07-21 07:41:14 PM,4380.129,73.0022,7459,0.9324,3541,0.4426,10109,1.2636,28.38,39.37,992.71,90.56
147,2026-07-21,2026-07-21 07:41:44 PM,4410.132,73.5022,7472,0.934,3538,0.4423,10118,1.2648,28.37,39.39,992.74,90.56
148,2026-07-21,2026-07-21 07:42:14 PM,4440.126,74.0021,7478,0.9348,3538,0.4423,10125,1.2656,28.36,39.39,992.76,90.27
149,2026-07-21,2026-07-21 07:42:44 PM,4470.125,74.5021,7489,0.9361,3530,0.4413,10128,1.266,28.35,39.41,992.75,89.89
150,2026-07-21,2026-07-21 07:43:14 PM,4500.125,75.0021,7502,0.9378,3532,0.4415,10139,1.2674,28.34,39.44,992.77,89.98
151,2026-07-21,2026-07-21 07:43:44 PM,4530.126,75.5021,7507,0.9384,3529,0.4411,10144,1.268,28.33,39.45,992.79,89.79
152,2026-07-21,2026-07-21 07:44:14 PM,4560.121,76.002,7512,0.939,3530,0.4413,10155,1.2694,28.31,39.46,992.81,89.79
153,2026-07-21,2026-07-21 07:44:44 PM,4590.111,76.5018,7519,0.9399,3526,0.4408,10155,1.2694,28.3,39.48,992.86,89.98
154,2026-07-21,2026-07-21 07:45:14 PM,4620.107,77.0018,7527,0.9409,3524,0.4405,10161,1.2701,28.28,39.5,992.86,89.7
155,2026-07-21,2026-07-21 07:45:44 PM,4650.117,77.5019,7533,0.9416,3516,0.4395,10167,1.2709,28.27,39.51,992.87,89.7
156,2026-07-21,2026-07-21 07:46:14 PM,4680.117,78.0019,7541,0.9426,3517,0.4396,10174,1.2718,28.25,39.52,992.9,89.23
157,2026-07-21,2026-07-21 07:46:44 PM,4710.12,78.502,7547,0.9434,3519,0.4399,10176,1.272,28.24,39.52,992.88,88.95
158,2026-07-21,2026-07-21 07:47:14 PM,4740.112,79.0019,7556,0.9445,3510,0.4388,10186,1.2733,28.23,39.54,992.91,89.7
159,2026-07-21,2026-07-21 07:47:44 PM,4770.1,79.5017,7563,0.9454,3510,0.4388,10190,1.2738,28.22,39.54,992.91,89.23
160,2026-07-21,2026-07-21 07:48:14 PM,4800.101,80.0017,7571,0.9464,3509,0.4386,10197,1.2746,28.22,39.54,992.92,88.95
161,2026-07-21,2026-07-21 07:48:44 PM,4830.112,80.5019,7579,0.9474,3501,0.4376,10204,1.2755,28.21,39.56,992.92,89.04
162,2026-07-21,2026-07-21 07:49:14 PM,4860.106,81.0018,7591,0.9489,3503,0.4379,10210,1.2763,28.21,39.54,992.93,89.23
163,2026-07-21,2026-07-21 07:49:44 PM,4890.105,81.5018,7597,0.9496,3506,0.4383,10215,1.2769,28.21,39.55,992.94,88.86
164,2026-07-21,2026-07-21 07:50:14 PM,4920.114,82.0019,7607,0.9509,3498,0.4373,10227,1.2784,28.21,39.54,992.95,88.95
165,2026-07-21,2026-07-21 07:50:44 PM,4950.109,82.5018,7614,0.9518,3501,0.4376,10234,1.2793,28.22,39.53,992.97,89.32
166,2026-07-21,2026-07-21 07:51:14 PM,4980.111,83.0019,7628,0.9535,3498,0.4373,10240,1.28,28.23,39.53,993.0,88.67
167,2026-07-21,2026-07-21 07:51:44 PM,5010.115,83.5019,7637,0.9546,3495,0.4369,10248,1.281,28.23,39.52,992.98,88.58
168,2026-07-21,2026-07-21 07:52:14 PM,5040.107,84.0018,7645,0.9556,3502,0.4378,10257,1.2821,28.24,39.52,992.99,87.94
169,2026-07-21,2026-07-21 07:52:44 PM,5070.105,84.5018,7663,0.9579,3499,0.4374,10259,1.2824,28.25,39.51,992.99,88.95
170,2026-07-21,2026-07-21 07:53:14 PM,5100.101,85.0017,7673,0.9591,3500,0.4375,10269,1.2836,28.26,39.48,992.96,88.21
171,2026-07-21,2026-07-21 07:53:44 PM,5130.108,85.5018,7680,0.96,3498,0.4373,10280,1.285,28.27,39.48,992.97,88.21
172,2026-07-21,2026-07-21 07:54:14 PM,5160.107,86.0018,7690,0.9613,3502,0.4378,10287,1.2859,28.28,39.47,992.94,87.85
173,2026-07-21,2026-07-21 07:54:44 PM,5190.107,86.5018,7701,0.9626,3495,0.4369,10298,1.2873,28.29,39.46,992.97,87.85
174,2026-07-21,2026-07-21 07:55:14 PM,5220.108,87.0018,7711,0.9639,3495,0.4369,10305,1.2881,28.31,39.47,992.92,87.31
175,2026-07-21,2026-07-21 07:55:44 PM,5250.099,87.5016,7725,0.9656,3498,0.4373,10312,1.289,28.32,39.45,992.88,87.76
176,2026-07-21,2026-07-21 07:56:14 PM,5280.106,88.0018,7735,0.9669,3497,0.4371,10323,1.2904,28.33,39.44,992.87,87.31
177,2026-07-21,2026-07-21 07:56:44 PM,5310.094,88.5016,7743,0.9679,3499,0.4374,10330,1.2913,28.34,39.43,992.84,87.13
178,2026-07-21,2026-07-21 07:57:14 PM,5340.098,89.0016,7754,0.9693,3499,0.4374,10335,1.2919,28.35,39.43,992.83,86.78
179,2026-07-21,2026-07-21 07:57:44 PM,5370.094,89.5016,7759,0.9699,3496,0.437,10346,1.2933,28.37,39.42,992.82,87.13
180,2026-07-21,2026-07-21 07:58:14 PM,5400.098,90.0016,7773,0.9716,3502,0.4378,10355,1.2944,28.37,39.41,992.78,86.96
181,2026-07-21,2026-07-21 07:58:44 PM,5430.092,90.5015,7782,0.9728,3504,0.438,10361,1.2951,28.38,39.41,992.76,86.6
182,2026-07-21,2026-07-21 07:59:14 PM,5460.092,91.0015,7792,0.974,3499,0.4374,10368,1.296,28.39,39.42,992.79,86.96
183,2026-07-21,2026-07-21 07:59:44 PM,5490.086,91.5014,7800,0.975,3502,0.4378,10377,1.2971,28.4,39.43,992.8,86.17
